Entre essas bebidas, qual você prefere ?;Quantas xícaras você toma ?;Você prefere ?;Qual açúcar você escolhe ?;Qual sua cafeteria favorita ?
Capuccino;Duas Xìcaras;Pouca Açúcar;Açúcar Normal;Starbucks
Capuccino;Uma Xìcaras;Pouca Açúcar;Açúcar Mascavo;Pão de açúcar 
Café Preto;Duas Xìcaras;Muita Açúcar;Açúcar Mascavo;Delta café 
Capuccino;Uma Xìcaras;Muita Açúcar;Açúcar Normal;Delta café 
Café Preto;Quatro Xìcaras;Pouca Açúcar;Açúcar Normal;Cafeteria Santa Clara
Capuccino;Uma Xìcaras;Pouca Açúcar;Açúcar Normal;Starbucks
Capuccino;Uma Xìcaras;Pouca Açúcar;Açúcar Normal;Cafeteria São Braz
Latte;Uma Xìcaras;Pouca Açúcar;Açúcar Mascavo;Starbucks
Café Preto;Três Xìcaras;Pouca Açúcar;Açúcar Normal;Cafeteria Santa Clara 
Café Preto;Duas Xìcaras;Pouca Açúcar;Açúcar Normal;Cafeteria Santa Clara
Café Preto;Quatro Xìcaras;Sem Açúcar;Açúcar Mascavo;Boutique Café Cordeiro
Latte;Uma Xìcaras;Pouca Açúcar;Açúcar Normal;Starbucks
;;;;
Cappucino - 5 ;Uma xìcaras-6;Pouco Açúcar-9;Açúcar Normal- 8;Starbucks- 4
Café preto - 5;Duas xìcaras-3;Muita Açúcar-2;Açúcar Mascavo-4;Delta café- 2
Latte- 2;Três xìcaras-1;Sem Açúcar-1;;Cafeteria Santa Clara- 3
;Quatro xìcaras-2;;;São Braz- 1
;;;;Pão de açúcar- 1
;;;;Boutique café cordeiro-1
